Date,Settle,signal
2014-03-06,79.665,2.0
2014-03-19,80.133,-2.0
2014-05-06,79.126,2.0
2014-05-09,79.961,-2.0
2014-06-27,80.086,2.0
2014-07-15,80.446,-2.0
2014-07-16,80.625,1.0
2014-10-15,85.241,-1.0
2014-10-31,87.016,1.0
2014-11-26,87.649,-1.0
2014-12-02,88.703,1.0
2014-12-16,88.297,-1.0
2014-12-19,89.841,1.0
2015-02-12,94.198,-1.0
2015-02-26,95.336,1.0
2015-03-23,97.298,-1.0
2015-04-28,96.194,2.0
2015-05-19,95.363,-2.0
2015-05-26,97.407,1.0
2015-06-02,95.878,-1.0
2015-07-01,96.509,1.0
2015-07-27,96.605,-1.0
2015-08-12,96.295,2.0
