,Settle,signal
37,1.3189,1.0
42,1.3056,-1.0
95,1.2919999999999998,1.0
107,1.305,-1.0
112,1.3247,2.0
120,1.3394,-2.0
165,1.3417,2.0
172,1.3241,-2.0
174,1.3192,1.0
181,1.3312,-1.0
186,1.3522,2.0
205,1.3523,-2.0
207,1.3676,2.0
217,1.3584,-2.0
243,1.3706,2.0
256,1.368,-2.0
263,1.3588,1.0
270,1.3679,-1.0
283,1.3487,1.0
288,1.3635,-1.0
307,1.3861,2.0
317,1.3779,-2.0
350,1.3928,2.0
352,1.3841,-2.0
355,1.3704,1.0
375,1.3548,-1.0
389,1.3692,2.0
393,1.3596,-2.0
401,1.3525,1.0
412,1.3389,-1.0
478,1.2525,1.0
482,1.2375,-1.0
501,1.2311,1.0
506,1.2448,-1.0
513,1.2228,1.0
521,1.2098,-1.0
562,1.1198,1.0
566,1.1079,-1.0
606,1.1132,2.0
611,1.1353,-2.0
625,1.0873,1.0
630,1.1155,-1.0
651,1.1054,1.0
662,1.0875,-1.0
681,1.1157,2.0
688,1.1389,-2.0
726,1.1473,2.0
732,1.1107,-2.0
733,1.1018,1.0
741,1.0863,-1.0
762,1.0941,2.0
782,1.0861,-2.0
785,1.0748,1.0
787,1.0936,-1.0
806,1.1104,2.0
810,1.1293,-2.0
837,1.1319,2.0
856,1.1274,-2.0
869,1.1532,2.0
878,1.1308,-2.0
909,1.1026,1.0
932,1.1076,-1.0
933,1.1174,2.0
946,1.1288,-2.0
985,1.1054,1.0
992,1.093,-1.0
1009,1.0737,1.0
1012,1.0626,-1.0
1032,1.0414,1.0
1046,1.0488,-1.0
1055,1.0714,2.0
1070,1.0681,-2.0
1074,1.0598,1.0
1088,1.0623,-1.0
1093,1.0672,2.0
1100,1.0811,-2.0
1124,1.0868,2.0
1132,1.0984,-2.0
1162,1.1145,1.0
1170,1.1339,-1.0
1171,1.1378,2.0
1185,1.1555,-2.0
1213,1.1926,2.0
1226,1.1886,-2.0
1235,1.1793,1.0
1246,1.1859,-1.0
1257,1.165,1.0
1270,1.1798,-1.0
1278,1.193,2.0
1286,1.1796,-2.0
1302,1.1943,2.0
1307,1.2068,-2.0
1384,1.2209,1.0
1389,1.2079,-1.0
1457,1.1584,1.0
1463,1.1411,-1.0
1492,1.1777,2.0
1497,1.1641,-2.0
1501,1.1478,1.0
1520,1.1344,-1.0
1557,1.1446,2.0
1560,1.1362,-2.0
1562,1.143,2.0
1566,1.1343,-2.0
1594,1.1276,1.0
1605,1.1387,-1.0
1612,1.1194,1.0
1616,1.1327,-1.0
1646,1.1154,1.0
1657,1.1222,-1.0
1671,1.1131,1.0
1674,1.1241,-1.0
1677,1.1276,2.0
1683,1.1209,-2.0
1716,1.1076,1.0
1719,1.1202,-1.0
1738,1.0991,1.0
1747,1.1063,-1.0
1756,1.0943,1.0
