Date,P&L,Settle,signal,Outcome
2013-02-20,-1.7469999999999999,81.155,2.0,0.0
2013-03-13,0.0,82.902,-2.0,0.0
2013-04-16,-0.015999999999991132,81.823,1.0,0.0
2013-04-30,1.9059999999999917,81.807,1.0,1.0
2013-05-14,2.1759999999999877,83.713,2.0,1.0
2013-06-06,3.151999999999987,81.537,1.0,1.0
2013-07-05,2.546999999999997,84.689,2.0,1.0
2013-08-30,1.7749999999999915,82.142,2.0,1.0
2013-09-18,-0.6490000000000009,80.367,1.0,0.0
2013-10-17,1.668999999999997,79.718,1.0,1.0
2013-11-08,1.1460000000000008,81.387,2.0,1.0
2013-12-05,-0.5759999999999934,80.241,1.0,0.0
2014-03-06,-0.5390000000000015,79.665,1.0,0.0
2014-05-06,0.9599999999999937,79.126,1.0,1.0
2014-06-27,0.5390000000000015,80.086,1.0,1.0
2014-07-16,-1.6550000000000011,80.625,2.0,0.0
2014-08-20,0.0,82.28,-2.0,0.0
2014-10-31,-1.6869999999999976,87.016,2.0,0.0
2014-12-02,-1.137999999999991,88.703,2.0,0.0
2014-12-19,-1.8970000000000056,89.841,2.0,0.0
2015-01-06,0.0,91.738,-2.0,0.0
2015-02-26,-2.2680000000000007,95.336,2.0,0.0
2015-03-06,0.0,97.604,-2.0,0.0
2015-04-28,-2.0190000000000055,96.194,1.0,0.0
2015-05-06,0.0,94.175,-1.0,0.0
2015-05-26,0.8979999999999961,97.407,2.0,1.0
2015-07-01,0.21399999999999864,96.509,2.0,1.0
2015-08-12,-2.939000000000007,96.295,1.0,0.0
2015-08-24,0.0,93.356,-1.0,0.0
2015-10-14,3.2860000000000014,93.957,1.0,1.0
2015-10-23,-2.01700000000001,97.243,2.0,0.0
2015-11-06,0.0,99.26,-2.0,0.0
2015-12-03,1.8619999999999948,97.634,1.0,1.0
2016-01-05,2.194999999999993,99.496,2.0,1.0
2016-02-03,-2.5,97.301,1.0,0.0
2016-03-17,-1.073999999999998,94.801,1.0,0.0
2016-04-28,2.975999999999999,93.727,1.0,1.0
2016-06-27,1.2120000000000033,96.703,2.0,1.0
2016-07-29,0.6340000000000003,95.491,1.0,1.0
2016-10-04,-2.188999999999993,96.125,2.0,0.0
2016-10-20,0.0,98.314,-2.0,0.0
2016-11-14,-2.9329999999999927,100.12,2.0,0.0
2016-12-15,1.8649999999999949,103.053,2.0,1.0
2017-01-13,1.0159999999999911,101.188,1.0,1.0
2017-03-02,2.0189999999999912,102.204,2.0,1.0
2017-03-16,-1.5370000000000061,100.185,1.0,0.0
2017-04-25,-0.6499999999999915,98.648,1.0,0.0
2017-05-16,-1.9050000000000011,97.998,1.0,0.0
2017-06-27,-1.975999999999999,96.093,1.0,0.0
2017-07-20,0.0,94.117,-1.0,0.0
2017-08-28,1.031000000000006,92.14,1.0,1.0
2017-09-27,0.036000000000001364,93.171,2.0,1.0
2017-11-22,-1.3090000000000117,93.135,1.0,0.0
2017-12-29,-1.9109999999999872,91.826,1.0,0.0
2018-01-23,0.0,89.915,-1.0,0.0
2018-03-23,1.671999999999997,89.033,1.0,1.0
2018-04-23,-1.8870000000000005,90.705,2.0,0.0
2018-05-07,0.0,92.592,-2.0,0.0
2018-06-14,-0.41100000000000136,94.776,2.0,0.0
2018-08-06,1.1110000000000042,95.187,2.0,1.0
2018-09-17,2.1060000000000088,94.076,1.0,1.0
2018-10-24,-1.2000000000000028,96.182,2.0,0.0
2018-11-12,1.6540000000000106,97.382,2.0,1.0
2018-12-20,1.1290000000000049,95.728,1.0,1.0
2019-02-11,-0.7710000000000008,96.857,2.0,0.0
2019-03-07,2.4270000000000067,97.628,2.0,1.0
2019-03-20,2.1189999999999998,95.201,1.0,1.0
2019-04-23,0.8299999999999983,97.32,2.0,1.0
2019-06-07,-0.35199999999998965,96.49,1.0,0.0
2019-06-20,1.6129999999999995,96.138,1.0,1.0
2019-07-26,-1.1089999999999947,97.751,2.0,0.0
2019-08-30,0.0,98.86,2.0,0.0
