Date,P&L,Outcome
2013-02-21,-0.835000000000008,0.0
2013-04-15,0.644999999999996,1.0
2013-05-01,1.0750000000000028,1.0
2013-05-15,0.6200000000000045,1.0
2013-06-07,-0.8299999999999983,0.0
2013-07-08,2.144999999999996,1.0
2013-09-02,0.6300000000000097,1.0
2013-09-19,0.2950000000000017,1.0
2013-10-18,0.5600000000000023,1.0
2013-12-06,0.36999999999999034,1.0
2014-02-17,0.020000000000010232,1.0
2014-05-07,0.75,1.0
2014-06-30,0.34499999999999886,1.0
2014-07-23,-1.0699999999999932,0.0
2014-11-03,-1.0450000000000017,0.0
2014-12-22,-1.8100000000000023,0.0
2015-03-02,-1.0150000000000006,0.0
2015-04-29,-1.3050000000000068,0.0
2015-05-27,1.884999999999991,1.0
2015-08-13,-1.490000000000009,0.0
2015-10-15,2.614999999999995,1.0
2015-10-26,-2.1400000000000006,0.0
2015-12-04,1.0349999999999966,1.0
2016-02-04,-1.1550000000000011,0.0
2016-03-17,-0.9750000000000085,0.0
2016-04-29,-1.0999999999999943,0.0
2016-06-09,1.4899999999999949,1.0
2016-06-27,-0.9849999999999994,0.0
2016-08-01,-1.309999999999988,0.0
2016-10-05,-1.4399999999999977,0.0
2016-11-15,-1.259999999999991,0.0
2016-12-15,0.41500000000000625,1.0
2017-01-18,0.355000000000004,1.0
2017-03-16,-1.0100000000000051,0.0
2017-04-26,0.6150000000000091,1.0
2017-05-17,-1.1599999999999966,0.0
2017-06-28,-1.289999999999992,0.0
2017-08-28,-0.9599999999999937,0.0
2017-09-28,0.2150000000000034,1.0
2017-11-23,0.37000000000000455,1.0
2017-12-29,-1.7600000000000051,0.0
2018-03-26,0.6849999999999881,1.0
2018-04-24,-0.9250000000000114,0.0
2018-06-15,1.0049999999999955,1.0
2018-08-10,-1.0699999999999932,0.0
2018-09-18,0.44999999999998863,1.0
2018-10-25,0.355000000000004,1.0
